amfi_code,date,nav,fund_name,fund_house,scheme_category
,2018-01-11,68.7927,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-01-12,68.8466,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-01-15,69.0392,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-01-16,67.6438,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-01-17,67.8071,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-01-18,66.4689,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-01-19,67.0254,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-01-22,67.6775,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-01-23,67.2381,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-01-24,66.4519,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-01-25,65.9743,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-01-29,65.4636,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-01-30,65.2116,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-01-31,64.872,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-02-01,64.6604,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-02-02,62.5129,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-02-05,62.5391,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-02-06,61.0687,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-02-07,62.36,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-02-08,63.7076,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-02-09,63.9351,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-02-12,64.4738,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-02-14,64.5707,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-02-15,63.6826,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-02-16,62.6723,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-02-19,61.7037,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-02-20,61.855,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-02-21,61.8416,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-02-22,61.7289,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-02-23,62.211,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-02-26,62.7988,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-02-27,62.4806,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-02-28,62.2774,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-03-01,62.2116,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-03-05,61.4179,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-03-06,60.7648,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-03-07,59.7924,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-03-08,59.6107,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-03-09,59.6427,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-03-12,59.9923,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-03-13,60.5853,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-03-14,60.3817,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-03-15,60.6964,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-03-16,60.1759,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-03-19,59.1931,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-03-20,59.0942,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-03-21,59.2581,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-03-22,58.3845,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-03-23,57.8792,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-03-26,58.3483,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-03-27,58.7848,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-03-28,58.0969,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-04-02,59.6897,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-04-03,60.3663,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-04-04,59.8079,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-04-05,60.5934,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-04-06,61.0985,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-04-09,61.559,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-04-10,61.7781,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-04-11,61.6102,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-04-12,61.7648,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-04-13,61.5831,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-04-16,61.9447,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-04-17,61.8273,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-04-18,61.6812,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-04-19,62.0316,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-04-20,62.0067,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-04-23,62.337,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-04-24,62.5241,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-04-25,62.5142,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-04-26,63.2641,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-04-27,63.0954,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-04-30,62.9323,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-05-02,62.4199,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-05-03,61.9566,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-05-04,61.5548,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-05-07,62.362,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-05-08,62.3405,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-05-09,62.7255,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-05-10,62.18,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-05-11,62.0221,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-05-14,61.1396,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-05-15,61.1301,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-05-16,60.6782,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-05-17,61.0749,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-05-18,60.8312,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-05-21,59.7326,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-05-22,59.7925,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-05-23,59.3398,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-05-24,59.2931,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-05-25,59.255,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-05-28,59.7938,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-05-29,59.4956,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2018-05-30,59.6359,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
